g1(638.0, 680.0)@[1.977518182E10, 1.9775181929E10]
g1(106.0, 285.0)@[4.9714509541E10, 4.9714509636E10]
g1(144.0, 138.0)@[4.1387552544E10, 4.1387552634E10]
g1(165.0, 388.0)@[1.2356351991E10, 1.2356352067E10]
g1(741.0, 468.0)@[1.1358493516E10, 1.1358493605E10]
g1(345.0, 427.0)@[2.3145910765E10, 2.3145910844E10]
g1(624.0, 776.0)@[3.5828305858E10, 3.5828305925E10]
g1(652.0, 263.0)@[6.051972961E10, 6.0519729714E10]
g1(460.0, 484.0)@[2.7534119187E10, 2.7534119276E10]
g1(378.0, 263.0)@[5.7113763885E10, 5.7113763979E10]
g1(212.0, 518.0)@[4.0317431245E10, 4.0317431316E10]
g1(436.0, 99.0)@[4.314977514E10, 4.3149775215E10]
g1(335.0, 457.0)@[4.0786907274E10, 4.0786907362E10]
g1(741.0, 75.0)@[4.1227296193E10, 4.1227296257E10]
g1(852.0, 134.0)@[5.4000464807E10, 5.4000464894E10]
g1(599.0, 779.0)@[4.8901255079E10, 4.890125517E10]
g1(806.0, 549.0)@[1.1337429268E10, 1.1337429356E10]
g1(886.0, 367.0)@[5.4370727881E10, 5.4370727967E10]
g1(407.0, 303.0)@[8.089424718E9, 8.089424783E9]
g1(767.0, 302.0)@[4.8197666501E10, 4.8197666591E10]
g1(700.0, 395.0)@[3.4522334546E10, 3.4522334635E10]
g1(904.0, 908.0)@[1.1470872342E10, 1.1470872432E10]
g1(670.0, 34.0)@[1.784854158E10, 1.7848541681E10]
g1(367.0, 68.0)@[5.5370462696E10, 5.5370462791E10]
g1(30.0, 485.0)@[4.628801086E9, 4.628801156E9]
g1(678.0, 83.0)@[5.9751415647E10, 5.9751415737E10]
g1(241.0, 519.0)@[1.58331245E9, 1.583312534E9]
g1(483.0, 43.0)@[5.8738865607E10, 5.8738865703E10]
g1(395.0, 264.0)@[5.9346615115E10, 5.9346615213E10]
g1(668.0, 113.0)@[5.9483774429E10, 5.9483774514E10]
g1(634.0, 60.0)@[2.986543359E9, 2.986543455E9]
g1(600.0, 672.0)@[3.9438767715E10, 3.9438767803E10]
g1(389.0, 318.0)@[2.085618055E9, 2.085618147E9]
g1(787.0, 247.0)@[5.5115385504E10, 5.5115385603E10]
g1(904.0, 649.0)@[5.423056128E9, 5.423056234E9]
g1(681.0, 997.0)@[1.8053657391E10, 1.8053657462E10]
g1(936.0, 351.0)@[3.2143457637E10, 3.2143457747E10]
g1(529.0, 179.0)@[4.7110963035E10, 4.7110963121E10]
g1(895.0, 364.0)@[5.5214756824E10, 5.5214756909E10]
g1(930.0, 614.0)@[9.922344261E9, 9.922344336E9]
g1(803.0, 692.0)@[5.0269189449E10, 5.0269189538E10]
g1(800.0, 627.0)@[2.7930868098E10, 2.7930868174E10]
g1(426.0, 507.0)@[1.0802511281E10, 1.0802511379E10]
g1(85.0, 535.0)@[3.360529014E9, 3.360529098E9]
g1(705.0, 879.0)@[2.7711652834E10, 2.7711652932E10]
g1(41.0, 13.0)@[3.1271469377E10, 3.1271469491E10]
g1(933.0, 274.0)@[1.7852208486E10, 1.7852208593E10]
g1(547.0, 908.0)@[4.4433446873E10, 4.4433446941E10]
g1(533.0, 773.0)@[5.668624563E9, 5.668624652E9]
g1(826.0, 224.0)@[1.1957930436E10, 1.1957930535E10]
g1(555.0, 500.0)@[2.6133017932E10, 2.613301801E10]
g1(421.0, 346.0)@[4.4095285044E10, 4.4095285121E10]
g1(931.0, 503.0)@[1.8902398829E10, 1.8902398914E10]
g1(720.0, 795.0)@[5.7415609448E10, 5.7415609523E10]
g1(206.0, 664.0)@[1.7032227863E10, 1.7032227953E10]
g1(543.0, 824.0)@[6.094209023E10, 6.0942090329E10]
g1(585.0, 281.0)@[1.898879336E10, 1.8988793434E10]
g1(374.0, 916.0)@[4.1603157597E10, 4.1603157685E10]
g1(544.0, 771.0)@[4.7175838106E10, 4.7175838201E10]
g1(0.0, 640.0)@[4.2371114821E10, 4.2371114913E10]
g1(569.0, 3.0)@[2.9867257998E10, 2.9867258111E10]
g1(883.0, 314.0)@[6.1903331572E10, 6.1903331647E10]
g1(464.0, 897.0)@[5.661484909E9, 5.661485029E9]
g1(447.0, 663.0)@[6.2058497581E10, 6.205849767E10]
g1(284.0, 290.0)@[1.4053565136E10, 1.4053565213E10]
g1(936.0, 860.0)@[5.3804982286E10, 5.3804982391E10]
g1(321.0, 460.0)@[1.4916297094E10, 1.4916297178E10]
g1(715.0, 359.0)@[3.1109059777E10, 3.1109059865E10]
g1(499.0, 112.0)@[6.1453955509E10, 6.145395559E10]
g1(750.0, 863.0)@[5.7249532146E10, 5.7249532233E10]
g1(415.0, 189.0)@[3.2958408845E10, 3.2958408941E10]
g1(338.0, 886.0)@[2.5222447644E10, 2.5222447743E10]
g1(94.0, 125.0)@[2.9055417508E10, 2.9055417591E10]
g1(38.0, 792.0)@[5.5494995756E10, 5.5494995839E10]
g1(165.0, 370.0)@[4.9162504649E10, 4.9162504747E10]
g1(384.0, 8.0)@[3.755894481E10, 3.7558944894E10]
g1(118.0, 230.0)@[1.5810765894E10, 1.5810765987E10]
g1(840.0, 198.0)@[2.3030570999E10, 2.3030571088E10]
g1(28.0, 380.0)@[1.6956305747E10, 1.6956305827E10]
g1(916.0, 230.0)@[4.0376115549E10, 4.0376115643E10]
g1(811.0, 727.0)@[5.4741140721E10, 5.4741140796E10]
g1(889.0, 635.0)@[6.0057636528E10, 6.0057636624E10]
g1(602.0, 861.0)@[4.8249933617E10, 4.8249933692E10]
g1(824.0, 985.0)@[1.1979646833E10, 1.1979646937E10]
g1(332.0, 743.0)@[2.7561283779E10, 2.7561283869E10]
g1(919.0, 721.0)@[1.830364146E9, 1.830364248E9]
g1(25.0, 496.0)@[9.04406299E8, 9.04406397E8]
g1(893.0, 521.0)@[5.7249009476E10, 5.7249009576E10]
g1(153.0, 793.0)@[7.592068818E9, 7.592068882E9]
g1(808.0, 818.0)@[4.6244898265E10, 4.6244898358E10]
g1(442.0, 456.0)@[2.6719410804E10, 2.6719410892E10]
g1(243.0, 136.0)@[1.9240077034E10, 1.9240077127E10]
g1(138.0, 988.0)@[7.352306795E9, 7.352306888E9]
g1(125.0, 113.0)@[4.7453286492E10, 4.7453286574E10]
g1(645.0, 796.0)@[3.5363344638E10, 3.5363344711E10]
g1(329.0, 107.0)@[3.4448422019E10, 3.4448422098E10]
g1(45.0, 556.0)@[2.0291813834E10, 2.0291813912E10]
g1(642.0, 301.0)@[2.4047976388E10, 2.4047976497E10]
g1(248.0, 896.0)@[5.329588771E9, 5.329588854E9]
g1(140.0, 299.0)@[6.1753132247E10, 6.1753132368E10]
g1(241.0, 947.0)@[5.2361986896E10, 5.2361986979E10]
g1(384.0, 452.0)@[9.939059783E9, 9.93905987E9]
g1(621.0, 427.0)@[3.332916589E9, 3.33291667E9]
g1(866.0, 849.0)@[4.6636908351E10, 4.6636908441E10]
g1(880.0, 331.0)@[2.0216034805E10, 2.0216034864E10]
g1(679.0, 534.0)@[4.789098275E9, 4.789098351E9]
g1(643.0, 184.0)@[3.399936896E10, 3.3999369059E10]
g1(79.0, 515.0)@[3.4328873225E10, 3.4328873313E10]
g1(364.0, 236.0)@[3.5904440347E10, 3.5904440451E10]
g1(90.0, 576.0)@[4.5008050526E10, 4.5008050606E10]
g1(654.0, 822.0)@[2.309510729E10, 2.3095107376E10]
g1(147.0, 791.0)@[6.1091459476E10, 6.1091459586E10]
g1(686.0, 845.0)@[4.3849446024E10, 4.3849446125E10]
g1(235.0, 784.0)@[5.0102289742E10, 5.0102289826E10]
g1(396.0, 408.0)@[3.3659721003E10, 3.3659721111E10]
g1(745.0, 940.0)@[2.56578615E9, 2.565786252E9]
g1(893.0, 728.0)@[2.3934910476E10, 2.393491056E10]
g1(375.0, 860.0)@[2.71539405E8, 2.7153949E8]
g1(814.0, 350.0)@[5.8897974855E10, 5.8897974931E10]
g1(130.0, 778.0)@[5.8291507728E10, 5.8291507834E10]
g1(5.0, 887.0)@[1.3219817628E10, 1.3219817698E10]
g1(218.0, 564.0)@[2.077962168E9, 2.077962275E9]
g1(284.0, 361.0)@[5.1316561736E10, 5.1316561808E10]
g1(799.0, 355.0)@[1.2031568232E10, 1.2031568335E10]
g1(553.0, 472.0)@[1.6933966206E10, 1.6933966299E10]
g1(422.0, 947.0)@[5.8852717963E10, 5.8852718064E10]
g1(220.0, 449.0)@[2.4382503579E10, 2.4382503683E10]
g1(636.0, 444.0)@[3.8069317332E10, 3.8069317418E10]
g1(901.0, 682.0)@[1.7429312308E10, 1.7429312416E10]
g1(634.0, 429.0)@[3.4874069482E10, 3.4874069576E10]
g1(536.0, 234.0)@[5.2403408338E10, 5.2403408425E10]
g1(453.0, 472.0)@[4.581267911E9, 4.581268017E9]
g1(412.0, 616.0)@[3.805789585E10, 3.805789595E10]
g1(788.0, 441.0)@[1.3992306624E10, 1.3992306697E10]
g1(941.0, 491.0)@[6.0933561408E10, 6.0933561483E10]
g1(432.0, 4.0)@[3.9994510126E10, 3.9994510227E10]
g1(770.0, 453.0)@[5.6861316813E10, 5.686131692E10]
g1(538.0, 667.0)@[2.9476861957E10, 2.9476862049E10]
g1(555.0, 505.0)@[2.7394051924E10, 2.7394052036E10]
g1(303.0, 918.0)@[3.1623390984E10, 3.1623391097E10]
g1(80.0, 859.0)@[4.0893791547E10, 4.0893791659E10]
g1(531.0, 839.0)@[3.8652195715E10, 3.8652195825E10]
g1(756.0, 963.0)@[1.1082534623E10, 1.1082534727E10]
g1(239.0, 57.0)@[1.5111791324E10, 1.5111791423E10]
g1(862.0, 247.0)@[3.8580761367E10, 3.8580761462E10]
g1(624.0, 802.0)@[6.2894869468E10, 6.2894869537E10]
g1(109.0, 105.0)@[3.7078494946E10, 3.7078495037E10]
g1(157.0, 619.0)@[5.4647107865E10, 5.4647107949E10]
g1(274.0, 850.0)@[5.375802244E9, 5.375802327E9]
g1(264.0, 522.0)@[3.3974881527E10, 3.3974881657E10]
g1(613.0, 310.0)@[1.9749014107E10, 1.9749014191E10]
g1(544.0, 502.0)@[4.2833647751E10, 4.2833647827E10]
g1(207.0, 271.0)@[2.3250967427E10, 2.3250967517E10]
g1(726.0, 827.0)@[3.9129437777E10, 3.9129437854E10]
g1(177.0, 349.0)@[5.8356855981E10, 5.8356856078E10]
g1(79.0, 994.0)@[4.0756655837E10, 4.0756655946E10]
g1(613.0, 149.0)@[3.8727661938E10, 3.8727662018E10]
g1(318.0, 497.0)@[2.1645745314E10, 2.1645745403E10]
g1(55.0, 171.0)@[5.5894878545E10, 5.5894878637E10]
g1(376.0, 153.0)@[5.2681671042E10, 5.2681671141E10]
g1(10.0, 583.0)@[8.922635832E9, 8.922635916E9]
g1(511.0, 560.0)@[5.6627357534E10, 5.662735763E10]
g1(253.0, 617.0)@[2.119296819E9, 2.119296897E9]
g1(149.0, 892.0)@[6.2209062871E10, 6.2209062969E10]
g1(75.0, 247.0)@[2.3808106217E10, 2.3808106286E10]
g1(686.0, 556.0)@[4.0397866852E10, 4.039786694E10]
g1(829.0, 699.0)@[6.438466177E9, 6.438466277E9]
g1(664.0, 404.0)@[4.5627883718E10, 4.5627883813E10]
g1(304.0, 136.0)@[5.3848295046E10, 5.384829515E10]
g1(161.0, 289.0)@[4.7817661623E10, 4.7817661712E10]
g1(401.0, 430.0)@[2.8041643042E10, 2.8041643113E10]
g1(701.0, 491.0)@[5.4397278008E10, 5.4397278119E10]
g1(449.0, 164.0)@[1.4515056623E10, 1.4515056708E10]
g1(84.0, 36.0)@[3.6766407279E10, 3.6766407371E10]
g1(945.0, 722.0)@[2.3225734496E10, 2.3225734585E10]
g1(946.0, 622.0)@[3.9613773398E10, 3.9613773501E10]
g1(44.0, 779.0)@[1.4884748107E10, 1.4884748186E10]
g1(477.0, 659.0)@[4.2291331281E10, 4.2291331374E10]
g1(420.0, 463.0)@[4.1616521326E10, 4.1616521415E10]
g1(785.0, 64.0)@[2.7443167234E10, 2.7443167314E10]
g1(747.0, 349.0)@[4.318871314E9, 4.318871399E9]
g1(521.0, 231.0)@[5.8057107934E10, 5.8057108006E10]
g1(308.0, 285.0)@[6.739266508E9, 6.739266582E9]
g1(397.0, 479.0)@[6.124796152E10, 6.1247961597E10]
g1(451.0, 828.0)@[5.6955715557E10, 5.6955715622E10]
g1(509.0, 213.0)@[6.2076132682E10, 6.2076132766E10]
g1(72.0, 336.0)@[2.2384425841E10, 2.2384425933E10]
g1(717.0, 12.0)@[4.87085902E8, 4.87085984E8]
g1(150.0, 548.0)@[1.9351429325E10, 1.9351429421E10]
g1(279.0, 383.0)@[2.0477273002E10, 2.047727308E10]
g1(302.0, 619.0)@[2.131671954E9, 2.131672051E9]
g1(449.0, 26.0)@[2.1076730255E10, 2.1076730338E10]
g2(5.0, 454.0)@[4.7318359324E10, 4.7318359404E10]
g2(397.0, 697.0)@[9.511040899E9, 9.511041025E9]
g2(154.0, 575.0)@[5.581909322E9, 5.581909427E9]
g2(972.0, 798.0)@[1.301199078E9, 1.30119917E9]
g2(166.0, 256.0)@[5.1835989588E10, 5.1835989679E10]
g2(36.0, 527.0)@[3.7492947082E10, 3.7492947185E10]
g2(384.0, 756.0)@[3.2329522102E10, 3.2329522193E10]
g2(20.0, 802.0)@[1.3273165124E10, 1.3273165214E10]
g2(25.0, 918.0)@[5.020007369E10, 5.0200073786E10]
g2(255.0, 386.0)@[4.96405066E8, 4.96405168E8]
g2(153.0, 783.0)@[2.4515737969E10, 2.4515738034E10]
g2(218.0, 564.0)@[2.077962196E9, 2.07796228E9]
g2(20.0, 673.0)@[5.5929377242E10, 5.592937734E10]
g2(667.0, 689.0)@[1.8729181204E10, 1.8729181294E10]
g2(908.0, 196.0)@[4.6310209447E10, 4.6310209555E10]
g2(846.0, 501.0)@[5.0518129502E10, 5.051812959E10]
g2(70.0, 963.0)@[1.9217266752E10, 1.9217266855E10]
g2(814.0, 29.0)@[1.8222226634E10, 1.8222226744E10]
g2(292.0, 72.0)@[5.7607114431E10, 5.7607114512E10]
g2(865.0, 697.0)@[6.841612546E9, 6.841612631E9]
g2(378.0, 263.0)@[5.7113763874E10, 5.7113763967E10]
g2(925.0, 948.0)@[3.1124366141E10, 3.1124366223E10]
g2(245.0, 368.0)@[5.0519910719E10, 5.0519910824E10]
g2(686.0, 845.0)@[4.384944603E10, 4.3849446134E10]
g2(220.0, 31.0)@[1.8096573951E10, 1.8096574033E10]
g2(308.0, 285.0)@[6.739266505E9, 6.739266599E9]
g2(686.0, 80.0)@[3.709084231E9, 3.709084328E9]
g2(593.0, 845.0)@[4.5928909078E10, 4.5928909153E10]
g2(79.0, 515.0)@[3.4328873228E10, 3.432887332E10]
g2(622.0, 52.0)@[4.9452416055E10, 4.9452416173E10]
g2(257.0, 336.0)@[6.73995324E9, 6.739953325E9]
g2(412.0, 467.0)@[2.951175435E9, 2.951175533E9]
g2(335.0, 11.0)@[6.378016459E9, 6.378016528E9]
g2(923.0, 709.0)@[9.495625169E9, 9.495625255E9]
g2(933.0, 820.0)@[6.461990213E9, 6.461990301E9]
g2(633.0, 280.0)@[3.3660932867E10, 3.3660932947E10]
g2(634.0, 279.0)@[3.1818479614E10, 3.1818479708E10]
g2(8.0, 666.0)@[1.405536349E10, 1.4055363575E10]
g2(951.0, 591.0)@[1.289415758E9, 1.289415837E9]
g2(235.0, 160.0)@[5.804569224E10, 5.804569233E10]
g2(137.0, 441.0)@[4.5242214061E10, 4.5242214168E10]
g2(573.0, 261.0)@[2.4595538364E10, 2.459553844E10]
g2(724.0, 45.0)@[2.7668015684E10, 2.7668015784E10]
g2(116.0, 234.0)@[3.7791158839E10, 3.7791158915E10]
g2(387.0, 500.0)@[2.4508907875E10, 2.4508907967E10]
g2(499.0, 112.0)@[6.1453955508E10, 6.1453955596E10]
g2(530.0, 116.0)@[4.671902101E9, 4.671902197E9]
g2(686.0, 556.0)@[4.0397866861E10, 4.0397866947E10]
g2(166.0, 735.0)@[1.684153769E10, 1.6841537775E10]
g2(879.0, 64.0)@[1.7796416925E10, 1.779641703E10]
g2(611.0, 184.0)@[5.0044353476E10, 5.0044353559E10]
g2(911.0, 80.0)@[1.4395024647E10, 1.4395024752E10]
g2(419.0, 536.0)@[4.5507779941E10, 4.5507780029E10]
g2(904.0, 122.0)@[3.08844537E10, 3.08844538E10]
g2(222.0, 456.0)@[3.626983381E9, 3.626983473E9]
g2(805.0, 706.0)@[4.4924889827E10, 4.4924889921E10]
g2(419.0, 828.0)@[9.7882416E9, 9.788241697E9]
g2(875.0, 453.0)@[3.307324942E9, 3.307325032E9]
g2(895.0, 847.0)@[2.9784138432E10, 2.9784138549E10]
g2(901.0, 682.0)@[1.7429312298E10, 1.7429312409E10]
g2(543.0, 824.0)@[6.0942090252E10, 6.0942090339E10]
g2(21.0, 473.0)@[4.3499526367E10, 4.3499526437E10]
g2(2.0, 418.0)@[4.9492017543E10, 4.9492017636E10]
g2(745.0, 940.0)@[2.56578616E9, 2.565786246E9]
g2(72.0, 210.0)@[5.8702012378E10, 5.8702012441E10]
g2(435.0, 865.0)@[2.5193331078E10, 2.5193331173E10]
g2(978.0, 740.0)@[3.0856622215E10, 3.0856622276E10]
g2(136.0, 526.0)@[7.139282576E9, 7.139282665E9]
g2(283.0, 400.0)@[3.7865575978E10, 3.7865576095E10]
g2(584.0, 999.0)@[3.124992122E9, 3.124992204E9]
g2(2.0, 458.0)@[1.66692135E9, 1.666921461E9]
g2(697.0, 511.0)@[5.1640356964E10, 5.1640357058E10]
g2(387.0, 266.0)@[4.2877817378E10, 4.2877817477E10]
g2(349.0, 187.0)@[5.7599947172E10, 5.7599947277E10]
g2(35.0, 489.0)@[7.757451198E9, 7.757451298E9]
g2(911.0, 217.0)@[4.362689191E10, 4.3626891986E10]
g2(695.0, 719.0)@[5.1387770214E10, 5.1387770325E10]
g2(38.0, 186.0)@[2.4665674839E10, 2.4665674946E10]
g2(306.0, 54.0)@[4.3848205399E10, 4.3848205504E10]
g2(582.0, 221.0)@[5.3231371503E10, 5.3231371609E10]
g2(818.0, 783.0)@[4.2608806629E10, 4.2608806721E10]
g2(105.0, 892.0)@[7.503124635E9, 7.503124723E9]
g2(590.0, 270.0)@[5.9559661973E10, 5.9559662049E10]
g2(174.0, 995.0)@[2.5410894954E10, 2.5410895062E10]
g2(941.0, 491.0)@[6.0933561408E10, 6.0933561483E10]
g2(904.0, 908.0)@[1.1470872334E10, 1.1470872437E10]
g2(527.0, 562.0)@[2.8965317686E10, 2.8965317774E10]
g2(185.0, 444.0)@[4.836324587E9, 4.836324673E9]
g2(49.0, 631.0)@[3.382624761E9, 3.382624881E9]
g2(842.0, 261.0)@[4.8859300983E10, 4.8859301081E10]
g2(409.0, 950.0)@[6.2890301318E10, 6.2890301417E10]
g2(134.0, 441.0)@[3.2341448337E10, 3.2341448436E10]
g2(303.0, 918.0)@[3.1623390996E10, 3.1623391094E10]
g2(701.0, 721.0)@[3.1949981215E10, 3.1949981294E10]
g2(374.0, 602.0)@[4.5782457396E10, 4.5782457495E10]
g2(920.0, 71.0)@[4.785344946E9, 4.785345042E9]
g2(185.0, 114.0)@[1.7381984186E10, 1.7381984283E10]
g2(555.0, 505.0)@[2.7394051927E10, 2.7394052035E10]
g2(130.0, 778.0)@[5.829150774E10, 5.8291507828E10]
g2(602.0, 861.0)@[4.8249933621E10, 4.82499337E10]
g2(163.0, 682.0)@[4.42205834E9, 4.422058427E9]
g2(521.0, 231.0)@[5.8057107933E10, 5.8057108E10]
g2(247.0, 662.0)@[1.8107826611E10, 1.8107826693E10]
g2(161.0, 289.0)@[4.781766161E10, 4.7817661707E10]
g2(952.0, 536.0)@[3.0448692515E10, 3.044869261E10]
g2(747.0, 349.0)@[4.3188713E9, 4.31887139E9]
g2(578.0, 974.0)@[3.5610789517E10, 3.5610789585E10]
g2(85.0, 535.0)@[3.360529019E9, 3.360529097E9]
g2(326.0, 399.0)@[4.9705038051E10, 4.9705038139E10]
g2(492.0, 126.0)@[4.3185979558E10, 4.3185979652E10]
g2(356.0, 295.0)@[6.1439860726E10, 6.1439860843E10]
g2(694.0, 736.0)@[1.4765509121E10, 1.4765509203E10]
g2(764.0, 756.0)@[3.0068034424E10, 3.0068034525E10]
g2(375.0, 275.0)@[1.30080692E8, 1.30080768E8]
g2(916.0, 230.0)@[4.0376115551E10, 4.037611566E10]
g2(829.0, 28.0)@[2.1491805733E10, 2.1491805818E10]
g2(474.0, 636.0)@[6.2939200255E10, 6.2939200326E10]
g2(774.0, 821.0)@[5.50817509E8, 5.50817612E8]
g2(981.0, 136.0)@[1.1027040329E10, 1.1027040435E10]
g2(261.0, 307.0)@[2.6681277653E10, 2.6681277744E10]
g2(277.0, 417.0)@[2.0711667706E10, 2.0711667805E10]
g2(741.0, 468.0)@[1.1358493515E10, 1.1358493607E10]
g2(395.0, 264.0)@[5.934661513E10, 5.9346615221E10]
g2(782.0, 322.0)@[4.443279976E9, 4.443280047E9]
g2(844.0, 647.0)@[4.432718662E9, 4.432718747E9]
g2(253.0, 617.0)@[2.11929682E9, 2.119296906E9]
g2(411.0, 370.0)@[2.7403425187E10, 2.7403425277E10]
g2(81.0, 578.0)@[5.2128130928E10, 5.2128131004E10]
g2(981.0, 106.0)@[1.383000991E10, 1.3830009989E10]
g2(461.0, 887.0)@[4.7293764919E10, 4.7293765001E10]
g2(345.0, 871.0)@[5.2859060838E10, 5.2859060922E10]
g2(735.0, 446.0)@[1.5037238957E10, 1.5037239057E10]
g2(620.0, 418.0)@[5.8128901105E10, 5.812890117E10]
g2(670.0, 34.0)@[1.7848541576E10, 1.7848541675E10]
g2(922.0, 112.0)@[3.4776298926E10, 3.4776299015E10]
g2(896.0, 132.0)@[6.2689237914E10, 6.2689238012E10]
g2(287.0, 481.0)@[1.0886365932E10, 1.0886366006E10]
g2(736.0, 49.0)@[3.39591112E9, 3.395911214E9]
g2(890.0, 558.0)@[4.6078905775E10, 4.6078905856E10]
g2(988.0, 651.0)@[3.9488929267E10, 3.9488929348E10]
g2(500.0, 28.0)@[1.349609346E9, 1.34960942E9]
g2(285.0, 489.0)@[2.7457671255E10, 2.7457671359E10]
g2(390.0, 111.0)@[1.4387827361E10, 1.4387827458E10]
g2(292.0, 706.0)@[3.8401189504E10, 3.8401189573E10]
g2(690.0, 54.0)@[4.9920424058E10, 4.9920424143E10]
g2(207.0, 271.0)@[2.3250967421E10, 2.3250967517E10]
g2(241.0, 947.0)@[5.2361986888E10, 5.2361986981E10]
g2(451.0, 828.0)@[5.695571554E10, 5.6955715631E10]
g2(475.0, 839.0)@[5.3101370846E10, 5.3101370926E10]
g2(304.0, 859.0)@[2.1331934936E10, 2.1331935032E10]
g2(106.0, 996.0)@[1.683357751E9, 1.683357846E9]
g2(618.0, 626.0)@[4.582156379E9, 4.58215647E9]
g2(568.0, 977.0)@[5.543191248E10, 5.5431912591E10]
g2(338.0, 588.0)@[2.6330539295E10, 2.6330539374E10]
g2(906.0, 298.0)@[4.776358837E10, 4.7763588473E10]
g2(616.0, 199.0)@[3.0963348145E10, 3.0963348231E10]
g2(562.0, 666.0)@[3.2401874239E10, 3.2401874343E10]
g2(177.0, 80.0)@[4.5940794679E10, 4.5940794783E10]
g2(144.0, 609.0)@[5.5164869944E10, 5.516487002E10]
g2(75.0, 115.0)@[4.4787319851E10, 4.4787319945E10]
g2(109.0, 546.0)@[2.6440646771E10, 2.6440646867E10]
g2(591.0, 465.0)@[5.7622366153E10, 5.762236624E10]
g2(30.0, 485.0)@[4.628801079E9, 4.628801158E9]
g2(158.0, 186.0)@[2.7449790204E10, 2.7449790303E10]
g2(287.0, 252.0)@[4.7754705559E10, 4.775470565E10]
g2(153.0, 793.0)@[7.59206882E9, 7.592068904E9]
g2(331.0, 912.0)@[1.1146465448E10, 1.1146465534E10]
g2(340.0, 585.0)@[5.4531945982E10, 5.4531946073E10]
g2(656.0, 321.0)@[6.1044857144E10, 6.1044857222E10]
g2(655.0, 473.0)@[4.7246528006E10, 4.7246528095E10]
g2(821.0, 860.0)@[1.3446945663E10, 1.3446945759E10]
g2(806.0, 707.0)@[4.0573305847E10, 4.0573305931E10]
g2(501.0, 221.0)@[5.5307779963E10, 5.5307780055E10]
g2(845.0, 113.0)@[6.404301515E9, 6.404301597E9]
g2(165.0, 549.0)@[3.3969985423E10, 3.3969985514E10]
g2(513.0, 410.0)@[6.0686819063E10, 6.068681915E10]
g2(464.0, 897.0)@[5.661484914E9, 5.661485033E9]
g2(384.0, 8.0)@[3.7558944809E10, 3.755894489E10]
g2(694.0, 832.0)@[3.1563614205E10, 3.1563614289E10]
g2(166.0, 444.0)@[5.8921486115E10, 5.8921486232E10]
g2(144.0, 138.0)@[4.1387552549E10, 4.1387552648E10]
g2(856.0, 770.0)@[5.8430367592E10, 5.8430367675E10]
g2(897.0, 14.0)@[1.5025481186E10, 1.5025481289E10]
g2(401.0, 118.0)@[2.2799588318E10, 2.2799588409E10]
g2(116.0, 912.0)@[5.9087882432E10, 5.9087882527E10]
g2(127.0, 563.0)@[4.0739646495E10, 4.073964659E10]
g2(302.0, 525.0)@[4.0442049412E10, 4.0442049493E10]
g2(307.0, 140.0)@[1.2446577496E10, 1.2446577581E10]
g2(218.0, 223.0)@[6.418881461E9, 6.418881574E9]
g2(913.0, 163.0)@[1.3130751124E10, 1.3130751229E10]
g2(115.0, 15.0)@[4.015468899E9, 4.015468975E9]
g2(28.0, 380.0)@[1.6956305754E10, 1.6956305838E10]
g2(213.0, 730.0)@[1.5783030679E10, 1.578303077E10]
g2(209.0, 261.0)@[4.419384571E9, 4.419384657E9]
g2(603.0, 901.0)@[5.3824406608E10, 5.3824406709E10]
g2(553.0, 472.0)@[1.6933966205E10, 1.693396629E10]
g2(530.0, 578.0)@[3.27888369E9, 3.278883777E9]
g2(525.0, 939.0)@[2.7603233167E10, 2.7603233267E10]
g2(994.0, 321.0)@[5.6140694951E10, 5.6140695036E10]
g2(736.0, 597.0)@[1.2987161296E10, 1.2987161394E10]
g2(289.0, 756.0)@[2.1253497704E10, 2.125349778E10]
g2(621.0, 427.0)@[3.332916596E9, 3.332916669E9]
g2(427.0, 94.0)@[4.4763344574E10, 4.4763344655E10]
g2(367.0, 112.0)@[3.680733332E10, 3.6807333413E10]
g2(119.0, 192.0)@[2.4975684519E10, 2.4975684637E10]
g2(880.0, 382.0)@[3.1882108283E10, 3.1882108383E10]
g2(342.0, 454.0)@[1.0564532023E10, 1.056453211E10]
g2(600.0, 672.0)@[3.9438767711E10, 3.9438767824E10]
g2(301.0, 721.0)@[2.497786477E10, 2.497786486E10]
g2(832.0, 591.0)@[4.0680629294E10, 4.0680629372E10]
g2(579.0, 317.0)@[8.180208491E9, 8.180208592E9]
g2(667.0, 792.0)@[1.6169049802E10, 1.616904988E10]
g2(700.0, 395.0)@[3.4522334555E10, 3.4522334634E10]
g2(507.0, 534.0)@[1.192408961E10, 1.1924089719E10]
g2(770.0, 453.0)@[5.6861316816E10, 5.686131691E10]
g2(80.0, 859.0)@[4.0893791551E10, 4.0893791645E10]
g2(937.0, 269.0)@[6.1731238188E10, 6.1731238274E10]
g2(681.0, 934.0)@[1.1229225957E10, 1.1229226055E10]
g2(527.0, 932.0)@[5.7500406573E10, 5.7500406673E10]
g2(239.0, 57.0)@[1.5111791316E10, 1.5111791414E10]
g2(520.0, 820.0)@[5.5571159E9, 5.557115989E9]
g2(810.0, 428.0)@[1.1273963954E10, 1.1273964041E10]
g2(91.0, 980.0)@[3.117892419E10, 3.1178924285E10]
g2(321.0, 954.0)@[5.0540213573E10, 5.0540213673E10]
g2(148.0, 750.0)@[2.9244661705E10, 2.9244661771E10]
g2(567.0, 665.0)@[4.1235910117E10, 4.1235910192E10]
